year,mean_chla,summer_bt,cp_extent,summer_st,mean_AL,NPI,wind_along_shelf,wind_cross_shelf,ice_avg,temp_occ,total_pred,pcod_consumption,bcd_prevalence,total_invert,female_sam,clutch_fullness,male_sam,matmale_d95,matmale_cod_lat,matmale_cod_lon,fraction_bb
1993,NA,2.8414414414414417,35288,7.079945799457994,69.0103305785124,1008.754,0.434995,-2.19295,26.83815286,3.4628388869583002,10562.1001406552,582.7158822,1.94064679990299,3637.282788827586,81.10929197328937,0.05622976298901773,101.90779,45714,56.6134122360534,-164.814139089603,0.863875799303441
1994,NA,1.6144827586206898,54135,5.6050938337801615,-73.93181818181819,1010.356,1.8237599999999998,-1.30075,29.00780244,2.8232488384672,12126.5338871954,309.2783342,0.0791226043706518,3699.6890071264365,81.83645467722876,0.11106384984709672,96.99281,43308,56.8093834227933,-166.013841258277,0.8005914508497035
1995,NA,1.524715909090909,71378,6.0896,-48.02892561983471,1008.562,0.6516865000000001,-1.8988800000000001,33.29942858,2.40486329218571,10876.5862493103,228.009349,2.07791896016335,3681.1114594597702,79.34756883868131,0.14261573823653917,95.87236,34486,56.6406125321372,-166.380304095269,0.7997324406030284
1996,NA,3.28121546961326,27669,6.682620320855615,52.09426229508197,1007.772,-0.774945,0.49799000000000004,24.31912971,3.22305256854367,11610.9280721149,260.5188576,0.862980135824982,3320.4108300229886,84.85237723620145,0.13609098048940396,102.83811,30476,56.5005005835653,-165.720816292495,0.8944113367035065
1997,NA,2.6290960451977403,43308,7.860160427807487,-60.56198347107438,1008.67,-2.5746149999999997,-0.03447500000000003,31.00169409,2.867325719824,11136.9835669713,135.7491007,1.46892608968661,4624.053425074712,81.81591872813236,0.24461034026246395,111.98025,33684,56.5984904597289,-165.916014190864,0.7161462936179707
1998,1.3630933114602093,3.113714285714286,25664,7.550943396226415,-150.74586776859505,1005.478,-0.17945,-0.070296,29.48152423,3.56175704241974,9902.00371766092,284.5039899,0.467139345081106,3476.9699006896553,83.3514699482861,0.12722449032282188,99.81227,39699,56.8251510419754,-166.628939284274,0.6570139543686584
1999,1.3151203358977623,0.7126801152737753,99047,3.9002710027100274,1.822314049586777,1009.446,0.321552,-0.38583,34.55957028,2.36197858791849,8254.42988246552,245.0248998,0.0438820770140999,3099.3607687126437,86.41633178312722,0.12334673413611727,108.89602,26867,56.3264594455333,-165.111241448105,0.8213204765837434
2000,1.3586826276844939,2.0077809798270896,59749,6.312912087912088,-80.03688524590164,1008.446,0.417765,-0.43665499999999996,29.93076438,2.85523997942064,6607.68138663218,132.1406006,0.110914293228808,3357.2136206264368,86.8530892150957,0.0773670995633181,106.88542,31278,56.2092811911039,-164.970399343103,0.8648493315508241
2001,1.8672820385137485,2.451388888888889,45313,5.859289617486339,-82.10330578512396,1007.084,0.253845,0.28204,16.94231364,3.62443701652658,7481.01258971839,359.2482471,0.0479128979041821,3782.909503683908,75.99242971961962,0.05651631622476608,109.11894,32481,56.1617515175326,-165.215553401014,0.8553219628783532
2002,1.7058411285719937,3.0838356164383565,25664,6.928763440860215,-26.81198347107438,1009.196,-1.3068650000000002,-0.8556655000000001,29.42637341,3.45686330938513,7136.65202761272,241.7116706,0.588263533468528,4055.2033829537568,78.43453237147972,0.03922286910796707,100.27246,36090,56.2871804104322,-166.063406310667,0.778127128067217
2003,1.9252006461543667,3.6836512261580383,13233,7.842933333333334,-85.82644628099173,1005.066,-0.358245,9.099999999999941e-4,23.33234089,4.34691915713299,8971.85124720115,194.7826631,2.11350680562668,4222.338855994253,77.940307725246,0.02376257773377214,102.75684,35288,56.1919525892305,-165.993845476317,0.7166809452037792
2004,1.8367724954214533,3.228142076502732,24461,8.411444141689374,-76.26844262295081,1008.564,-1.08777,-0.13003499999999996,24.8798642,3.43853426851709,9993.00788604046,NA,0.353660722412428,4431.498723184971,82.33443612936027,0.022698389239301658,106.80999,38897,56.5961742728857,-167.172099479016,0.46217021313145135
2005,1.8040380433694412,3.258092485549133,23258,7.247425474254743,-36.18388429752066,1008.15,-0.605625,-2.114345,22.72370188,3.46219071478074,10725.5615561221,152.2129319,0.732882928943508,4982.565885151163,82.12066476652197,0.0188745149584109,96.56501,45313,56.6971158486296,-167.53412819981,0.44352495471148706
2006,1.428637231451801,1.6663072776280323,68170,5.63800539083558,-13.809917355371901,1010.108,1.42595,0.5158410000000001,30.88227154,1.87659038478953,9785.17435995402,445.5432954,0.454657088896905,4974.098573781609,83.04511382859424,0.041082686816308396,102.93158,48922,56.4933791706239,-167.236450049711,0.4889428746922553
2007,1.3142792556897778,1.5826666666666667,78997,6.45,-21.136363636363637,1009.826,2.0999,-0.09130000000000005,29.96380574,1.39022657128349,8634.57645541379,205.0519057,0.126451816056031,4455.407700770115,85.60021585029605,0.04446751611918628,105.94926,40902,56.6855957592189,-167.693904157901,0.3615511060527117
2008,1.3115214427760324,1.1016042780748663,96240,4.244385026737968,-37.48770491803279,1009.304,0.69953,-1.4043,35.06809706,1.83231549145376,8967.19164547701,213.6808163,0.0253563735949852,4208.169009844828,80.38238399327682,0.054892326167388046,97.72394,47719,56.5402607601737,-167.10681424936,0.5193329698937829
2009,1.6958308869091758,1.1957333333333333,89824,4.681866666666667,47.31404958677686,1013.466,-0.629605,-0.6196,35.1535147,2.00600036579571,7936.19197506322,227.6291623,0.125524624537652,3915.0630942183907,82.71913087804678,0.09794557288350617,109.22561,37293,56.4720673602749,-167.420857769314,0.5058554089660079
