"R","m","logLik","K","AICc","dAICc"
"unconstrained",2,-73.2906089397886,11,171.331217879577,0
"unconstrained",1,-76.0000826747924,9,171.836900043462,0.505682163885211
"diagonal and unequal",1,-83.2312157420527,6,179.294114652422,7.96289677284497
"diagonal and unequal",2,-80.9306196917761,8,179.315784838098,7.98456695852045
"equalvarcov",1,-86.7308920516838,5,184.050019397485,12.718801517908
"equalvarcov",2,-85.0340133978567,7,185.188026795713,13.8568089161362
"diagonal and equal",1,-88.5374134370593,4,185.463176388682,14.1319585091044
"diagonal and equal",2,-88.5374134359745,6,189.906510040266,18.5752921606886
